source_dataset,target_split,class_name,original_file_name,new_file_name,new_file_path
dataset2,train,夏枯草,66.jpg,d2_train_66.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_66.jpg
dataset2,train,夏枯草,62.jpg,d2_train_62.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_62.jpg
dataset2,train,夏枯草,45.jpg,d2_train_45.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_45.jpg
dataset2,train,夏枯草,37.jpg,d2_train_37.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_37.jpg
dataset2,train,夏枯草,54.jpg,d2_train_54.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_54.jpg
dataset2,train,夏枯草,7.jpg,d2_train_7.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_7.jpg
dataset2,train,夏枯草,9.jpg,d2_train_9.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_9.jpg
dataset2,train,夏枯草,27.jpg,d2_train_27.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_27.jpg
dataset2,train,夏枯草,71.jpg,d2_train_71.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_71.jpg
dataset2,train,夏枯草,33.jpg,d2_train_33.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_33.jpg
dataset2,train,夏枯草,76.jpg,d2_train_76.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_76.jpg
dataset2,train,夏枯草,63.jpg,d2_train_63.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_63.jpg
dataset2,train,夏枯草,28.jpg,d2_train_28.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_28.jpg
dataset2,train,夏枯草,60.jpg,d2_train_60.jpg,I:\DeepLearning\ChineseHerb_Identify\data\processed\improved_cnn_v2_dataset\train\夏枯草\d2_train_60.jpg
