,precision,recall,f1-score,support
乌梅,1.0,0.9918032786885246,0.9958847736625515,122.0
侧柏叶,0.9908256880733946,0.9642857142857143,0.9773755656108597,112.0
北沙参块,0.9916666666666667,0.9754098360655737,0.9834710743801653,122.0
北沙参条,0.9732142857142857,0.990909090909091,0.9819819819819819,110.0
半夏,0.9736842105263158,0.9568965517241379,0.9652173913043478,116.0
地龙,0.9849624060150376,1.0,0.9924242424242424,131.0
夏枯草,0.9908256880733946,0.9818181818181818,0.9863013698630136,110.0
大血藤,1.0,1.0,1.0,132.0
小茴香,0.9618320610687023,0.9692307692307692,0.9655172413793104,130.0
巴戟天,0.9925925925925926,0.9640287769784173,0.9781021897810219,139.0
干姜,0.9337748344370861,0.986013986013986,0.9591836734693877,143.0
木香,0.9389312977099237,0.9461538461538461,0.9425287356321839,130.0
板蓝根,0.990990990990991,0.990990990990991,0.990990990990991,111.0
枳实,1.0,0.9916666666666667,0.99581589958159,120.0
枸杞,1.0,1.0,1.0,131.0
柏子仁,1.0,1.0,1.0,117.0
柴胡,0.9741379310344828,0.8625954198473282,0.9149797570850202,131.0
桃仁,0.9734513274336283,1.0,0.9865470852017937,110.0
水红花子,1.0,1.0,1.0,156.0
沉香,0.8580246913580247,1.0,0.9235880398671097,139.0
泽兰,0.972972972972973,0.972972972972973,0.972972972972973,111.0
白头翁,0.9396551724137931,0.8861788617886179,0.9121338912133892,123.0
白扁豆,0.991869918699187,0.976,0.9838709677419355,125.0
白术,0.9903846153846154,0.944954128440367,0.9671361502347418,109.0
白矾,1.0,0.984375,0.9921259842519685,128.0
白芍,0.952,0.967479674796748,0.9596774193548387,123.0
白茅根,0.981651376146789,1.0,0.9907407407407407,107.0
白豆蔻,0.976,0.976,0.976,125.0
百合,1.0,0.9924242424242424,0.9961977186311787,132.0
百花蛇舌草,0.975609756097561,0.9917355371900827,0.9836065573770492,121.0
百部,0.9398496240601504,0.9615384615384616,0.9505703422053232,130.0
知母,1.0,0.9345794392523364,0.966183574879227,107.0
穿山甲,0.9934640522875817,0.987012987012987,0.990228013029316,154.0
竹茹,0.9927007299270073,1.0,0.9963369963369964,136.0
紫花地丁,1.0,0.99,0.9949748743718593,100.0
紫苑,1.0,0.9532710280373832,0.9760765550239234,107.0
紫草,1.0,0.9719626168224299,0.985781990521327,107.0
艾叶,0.9375,1.0,0.967741935483871,135.0
苍术,0.9719626168224299,0.9541284403669725,0.9629629629629629,109.0
草果,0.9912280701754386,0.9826086956521739,0.9868995633187773,115.0
草豆蔻,0.990909090909091,0.990909090909091,0.990909090909091,110.0
薏苡仁,0.9827586206896551,0.9827586206896551,0.9827586206896551,116.0
虫草,0.990990990990991,0.9734513274336283,0.9821428571428571,113.0
蝉蜕,1.0,1.0,1.0,128.0
赤石脂,0.9724770642201835,0.9636363636363636,0.9680365296803652,110.0
赤芍,0.9576271186440678,0.9416666666666667,0.9495798319327731,120.0
远志,0.972972972972973,0.9795918367346939,0.976271186440678,147.0
阿胶,0.9594594594594594,0.993006993006993,0.9759450171821306,143.0
陈皮,0.972027972027972,0.9928571428571429,0.9823321554770318,140.0
鳖甲,0.984375,1.0,0.9921259842519685,189.0
accuracy,0.9770539152759948,0.9770539152759948,0.9770539152759948,0.9770539152759948
macro avg,0.9783872373319289,0.9763380647520647,0.9770446099314906,6232.0
weighted avg,0.9777179132299685,0.9770539152759948,0.9770544211247907,6232.0
