,precision,recall,f1-score,support
乌梅,1.0,0.9918032786885246,0.9958847736625515,122.0
侧柏叶,0.990909090909091,0.9732142857142857,0.9819819819819819,112.0
北沙参块,0.9915254237288136,0.9590163934426229,0.975,122.0
北沙参条,0.9727272727272728,0.9727272727272728,0.9727272727272728,110.0
半夏,0.9905660377358491,0.9051724137931034,0.9459459459459459,116.0
地龙,0.9562043795620438,1.0,0.9776119402985075,131.0
夏枯草,1.0,0.9727272727272728,0.9861751152073732,110.0
大血藤,1.0,0.9848484848484849,0.9923664122137404,132.0
小茴香,0.9534883720930233,0.9461538461538461,0.9498069498069498,130.0
巴戟天,0.9854014598540146,0.9712230215827338,0.9782608695652174,139.0
干姜,0.9652777777777778,0.972027972027972,0.9686411149825784,143.0
木香,0.9398496240601504,0.9615384615384616,0.9505703422053232,130.0
板蓝根,1.0,0.9459459459459459,0.9722222222222222,111.0
枳实,0.9747899159663865,0.9666666666666667,0.9707112970711297,120.0
枸杞,1.0,1.0,1.0,131.0
柏子仁,0.9830508474576272,0.9914529914529915,0.9872340425531915,117.0
柴胡,0.9090909090909091,0.8396946564885496,0.873015873015873,131.0
桃仁,0.9478260869565217,0.990909090909091,0.9688888888888889,110.0
水红花子,1.0,1.0,1.0,156.0
沉香,0.8896103896103896,0.9856115107913669,0.9351535836177475,139.0
泽兰,0.9298245614035088,0.954954954954955,0.9422222222222222,111.0
白头翁,0.8918918918918919,0.8048780487804879,0.8461538461538461,123.0
白扁豆,0.9917355371900827,0.96,0.975609756097561,125.0
白术,0.972972972972973,0.9908256880733946,0.9818181818181818,109.0
白矾,1.0,0.9921875,0.996078431372549,128.0
白芍,0.9365079365079365,0.959349593495935,0.9477911646586346,123.0
白茅根,0.9722222222222222,0.9813084112149533,0.9767441860465116,107.0
白豆蔻,0.953125,0.976,0.9644268774703557,125.0
百合,0.9924242424242424,0.9924242424242424,0.9924242424242424,132.0
百花蛇舌草,0.9083969465648855,0.9834710743801653,0.9444444444444444,121.0
百部,0.9197080291970803,0.9692307692307692,0.9438202247191011,130.0
知母,0.9813084112149533,0.9813084112149533,0.9813084112149533,107.0
穿山甲,0.9867549668874173,0.9675324675324676,0.9770491803278688,154.0
竹茹,1.0,0.9632352941176471,0.9812734082397003,136.0
紫花地丁,0.9238095238095239,0.97,0.9463414634146341,100.0
紫苑,0.9801980198019802,0.9252336448598131,0.9519230769230769,107.0
紫草,0.9906542056074766,0.9906542056074766,0.9906542056074766,107.0
艾叶,0.9769230769230769,0.9407407407407408,0.9584905660377359,135.0
苍术,0.9369369369369369,0.9541284403669725,0.9454545454545454,109.0
草果,0.9826086956521739,0.9826086956521739,0.9826086956521739,115.0
草豆蔻,0.9819819819819819,0.990909090909091,0.9864253393665159,110.0
薏苡仁,0.9663865546218487,0.9913793103448276,0.9787234042553191,116.0
虫草,0.990990990990991,0.9734513274336283,0.9821428571428571,113.0
蝉蜕,1.0,1.0,1.0,128.0
赤石脂,0.9908256880733946,0.9818181818181818,0.9863013698630136,110.0
赤芍,0.9193548387096774,0.95,0.9344262295081968,120.0
远志,0.9666666666666667,0.9863945578231292,0.9764309764309764,147.0
阿胶,0.9662162162162162,1.0,0.9828178694158075,143.0
陈皮,0.9927536231884058,0.9785714285714285,0.9856115107913669,140.0
鳖甲,0.9735449735449735,0.9735449735449735,0.9735449735449735,189.0
accuracy,0.9682284980744544,0.9682284980744544,0.9682284980744544,0.9682284980744544
macro avg,0.9685408459746477,0.967937492371832,0.9679052057317067,6232.0
weighted avg,0.9686983598787561,0.9682284980744544,0.9681316259199695,6232.0
