,precision,recall,f1-score,support
夏枯草,1.0,0.8888888888888888,0.9411764705882353,18.0
巴戟天,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
枸杞,1.0,1.0,1.0,19.0
桃仁,1.0,0.8857142857142857,0.9393939393939394,35.0
白头翁,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0
白扁豆,0.9583333333333334,0.8846153846153846,0.92,26.0
白术,1.0,0.6923076923076923,0.8181818181818182,26.0
白芍,0.9259259259259259,1.0,0.9615384615384616,25.0
白茅根,1.0,0.9696969696969697,0.9846153846153847,33.0
百合,1.0,0.9047619047619048,0.95,21.0
紫苑,1.0,1.0,1.0,14.0
草果,1.0,0.9565217391304348,0.9777777777777777,23.0
薏苡仁,0.9473684210526315,1.0,0.972972972972973,18.0
蝉蜕,1.0,0.8,0.8888888888888888,20.0
陈皮,1.0,0.7777777777777778,0.875,27.0
micro avg,0.9748427672955975,0.8959537572254336,0.9337349397590361,346.0
macro avg,0.975408428478604,0.9012438565756645,0.9338668990863533,346.0
weighted avg,0.9769427985506476,0.8959537572254336,0.9316199465265003,346.0
