,precision,recall,f1-score,support
乌梅,1.0,1.0,1.0,122.0
侧柏叶,1.0,1.0,1.0,112.0
北沙参块,0.991869918699187,1.0,0.9959183673469387,122.0
北沙参条,0.9908256880733946,0.9818181818181818,0.9863013698630136,110.0
半夏,1.0,0.9827586206896551,0.991304347826087,116.0
地龙,0.9849624060150376,1.0,0.9924242424242424,131.0
夏枯草,1.0,1.0,1.0,110.0
大血藤,1.0,1.0,1.0,132.0
小茴香,0.9923076923076923,0.9923076923076923,0.9923076923076923,130.0
巴戟天,1.0,0.9928057553956835,0.9963898916967509,139.0
干姜,0.993006993006993,0.993006993006993,0.993006993006993,143.0
木香,0.9772727272727273,0.9923076923076923,0.9847328244274809,130.0
板蓝根,1.0,0.990990990990991,0.995475113122172,111.0
枳实,1.0,1.0,1.0,120.0
枸杞,1.0,1.0,1.0,131.0
柏子仁,0.975,1.0,0.9873417721518988,117.0
柴胡,0.9922480620155039,0.9770992366412213,0.9846153846153847,131.0
桃仁,1.0,1.0,1.0,110.0
水红花子,1.0,1.0,1.0,156.0
沉香,0.9788732394366197,1.0,0.9893238434163701,139.0
泽兰,0.9910714285714286,1.0,0.9955156950672646,111.0
白头翁,0.9916666666666667,0.967479674796748,0.9794238683127572,123.0
白扁豆,0.984,0.984,0.984,125.0
白术,1.0,0.9908256880733946,0.9953917050691244,109.0
白矾,1.0,1.0,1.0,128.0
白芍,0.976,0.991869918699187,0.9838709677419355,123.0
白茅根,1.0,0.9906542056074766,0.9953051643192489,107.0
白豆蔻,0.992,0.992,0.992,125.0
百合,1.0,1.0,1.0,132.0
百花蛇舌草,1.0,0.9917355371900827,0.995850622406639,121.0
百部,0.9769230769230769,0.9769230769230769,0.9769230769230769,130.0
知母,0.9907407407407407,1.0,0.9953488372093023,107.0
穿山甲,1.0,1.0,1.0,154.0
竹茹,1.0,1.0,1.0,136.0
紫花地丁,1.0,1.0,1.0,100.0
紫苑,1.0,1.0,1.0,107.0
紫草,1.0,1.0,1.0,107.0
艾叶,0.9926470588235294,1.0,0.996309963099631,135.0
苍术,1.0,0.9908256880733946,0.9953917050691244,109.0
草果,1.0,0.991304347826087,0.9956331877729258,115.0
草豆蔻,0.990990990990991,1.0,0.995475113122172,110.0
薏苡仁,1.0,0.9827586206896551,0.991304347826087,116.0
虫草,1.0,1.0,1.0,113.0
蝉蜕,1.0,1.0,1.0,128.0
赤石脂,1.0,1.0,1.0,110.0
赤芍,0.9833333333333333,0.9833333333333333,0.9833333333333333,120.0
远志,0.9798657718120806,0.9931972789115646,0.9864864864864865,147.0
阿胶,1.0,1.0,1.0,143.0
陈皮,1.0,0.9857142857142858,0.9928057553956835,140.0
鳖甲,1.0,1.0,1.0,189.0
accuracy,0.9943838254172015,0.9943838254172015,0.9943838254172015,0.9943838254172015
macro avg,0.9945121158937801,0.9943143363799279,0.9943902334271963,6232.0
weighted avg,0.994431190652402,0.9943838254172015,0.9943846659315526,6232.0
