,precision,recall,f1-score,support
夏枯草,1.0,1.0,1.0,18.0
巴戟天,1.0,1.0,1.0,19.0
枸杞,1.0,1.0,1.0,19.0
桃仁,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0
白头翁,1.0,0.9090909090909091,0.9523809523809523,22.0
白扁豆,0.9583333333333334,0.8846153846153846,0.92,26.0
白术,1.0,0.9230769230769231,0.96,26.0
白芍,0.9259259259259259,1.0,0.9615384615384616,25.0
白茅根,1.0,1.0,1.0,33.0
百合,1.0,0.8571428571428571,0.9230769230769231,21.0
紫苑,1.0,1.0,1.0,14.0
草果,1.0,1.0,1.0,23.0
薏苡仁,0.8571428571428571,1.0,0.9230769230769231,18.0
蝉蜕,0.9523809523809523,1.0,0.975609756097561,20.0
陈皮,0.9565217391304348,0.8148148148148148,0.88,27.0
micro avg,0.9734513274336283,0.953757225433526,0.9635036496350365,346.0
macro avg,0.9747822252894718,0.957344630677964,0.9644741058399597,346.0
weighted avg,0.9750493995593268,0.953757225433526,0.962841149169924,346.0
